fecha,anio,mes_num,departamento,municipio,pasajeros_aereos_nacionales
2012-03-01,2012,3,NARINO,Pasto,9145
2012-03-01,2012,3,NARINO,San Andres de Tumaco,2502
2012-03-01,2012,3,NORTE DE SANTANDER,Cúcuta,31360
2012-03-01,2012,3,PUTUMAYO,Puerto Asís,1698
2012-03-01,2012,3,PUTUMAYO,Puerto Leguízamo,374
2012-03-01,2012,3,PUTUMAYO,Villagarzón,484
2012-03-01,2012,3,QUINDIO,Armenia,11720
2012-03-01,2012,3,RISARALDA,Pereira,28516
2012-03-01,2012,3,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,814
2012-03-01,2012,3,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,30486
2012-03-01,2012,3,SANTANDER,Barrancabermeja,7910
2012-03-01,2012,3,SANTANDER,Bucaramanga,48272
2012-03-01,2012,3,SIN ESPECIFICAR,Sin Especificar,0
2012-03-01,2012,3,SUCRE,Corozal,1357
2012-03-01,2012,3,SUCRE,Coveñas,0
2012-03-01,2012,3,SUCRE,Santiago de Tolú,219
2012-03-01,2012,3,TOLIMA,Ibagué,6791
2012-03-01,2012,3,TOLIMA,natagaima,0
2012-03-01,2012,3,VALLE DEL CAUCA,Buenaventura,336
2012-03-01,2012,3,VALLE DEL CAUCA,Cali,104216
2012-03-01,2012,3,VAUPES,Caruru,57
2012-03-01,2012,3,VAUPES,Mitú,934
2012-03-01,2012,3,VAUPES,Pacoa,30
2012-03-01,2012,3,VAUPES,Taraira,80
2012-03-01,2012,3,VICHADA,Cumaribo,450
2012-03-01,2012,3,VICHADA,La Primavera,0
2012-03-01,2012,3,VICHADA,Puerto Carreño,1407
2012-04-01,2012,4,AMAZONAS,LA CHORRERA,60
2012-04-01,2012,4,AMAZONAS,La Pedrera,123
2012-04-01,2012,4,AMAZONAS,Leticia,5727
2012-04-01,2012,4,AMAZONAS,Tarapacá,106
2012-04-01,2012,4,ANTIOQUIA,Carepa,6386
2012-04-01,2012,4,ANTIOQUIA,Caucasia,1158
2012-04-01,2012,4,ANTIOQUIA,El Bagre,397
2012-04-01,2012,4,ANTIOQUIA,Medellín,33082
2012-04-01,2012,4,ANTIOQUIA,Remedios,316
2012-04-01,2012,4,ANTIOQUIA,Rionegro,107279
2012-04-01,2012,4,ARAUCA,Arauca,4214
2012-04-01,2012,4,ARAUCA,Cravo Norte,0
2012-04-01,2012,4,ARAUCA,Tame,160
2012-04-01,2012,4,ATLANTICO,Barranquilla,56511
2012-04-01,2012,4,BOGOTA D.C.,"Bogotá, D.C.",431918
2012-04-01,2012,4,BOLIVAR,Cartagena,70550
2012-04-01,2012,4,CALDAS,Manizales,7513
2012-04-01,2012,4,CAQUETA,Florencia,2543
2012-04-01,2012,4,CAQUETA,San Vicente del Caguán,49
2012-04-01,2012,4,CAQUETA,Solano,0
2012-04-01,2012,4,CASANARE,Paz de Ariporo,10
2012-04-01,2012,4,CASANARE,Yopal,11975
2012-04-01,2012,4,CAUCA,Guapi,569
2012-04-01,2012,4,CAUCA,Popayán,3167
2012-04-01,2012,4,CESAR,San Martín,36
2012-04-01,2012,4,CESAR,Valledupar,11780
2012-04-01,2012,4,CHOCO,Acandí,329
2012-04-01,2012,4,CHOCO,Bahía Solano,948
2012-04-01,2012,4,CHOCO,Condoto,202
2012-04-01,2012,4,CHOCO,Nuquí,385
2012-04-01,2012,4,CHOCO,Quibdó,9915
2012-04-01,2012,4,CORDOBA,Montería,19537
2012-04-01,2012,4,GUAINIA,Barranco Minas,8
2012-04-01,2012,4,GUAINIA,Inírida,917
2012-04-01,2012,4,GUAVIARE,Miraflores,113
2012-04-01,2012,4,GUAVIARE,San José del Guaviare,692
2012-04-01,2012,4,HUILA,Neiva,10829
2012-04-01,2012,4,LA GUAJIRA,Maicao,3452
2012-04-01,2012,4,LA GUAJIRA,Riohacha,3089
