fecha,anio,mes_num,departamento,pasajeros_aereos_nacionales,n_municipios_nac
2012-09-01,2012,9,TOLIMA,6354,1
2012-09-01,2012,9,VALLE DEL CAUCA,121106,2
2012-09-01,2012,9,VAUPES,611,4
2012-09-01,2012,9,VICHADA,1170,3
2012-10-01,2012,10,AMAZONAS,7431,4
2012-10-01,2012,10,ANTIOQUIA,240173,6
2012-10-01,2012,10,ARAUCA,4283,2
2012-10-01,2012,10,ATLANTICO,73568,1
2012-10-01,2012,10,BOGOTA D.C.,540510,1
2012-10-01,2012,10,BOLIVAR,118122,1
2012-10-01,2012,10,CALDAS,7935,1
2012-10-01,2012,10,CAQUETA,3195,3
2012-10-01,2012,10,CASANARE,17337,2
2012-10-01,2012,10,CAUCA,4281,2
2012-10-01,2012,10,CESAR,13366,1
2012-10-01,2012,10,CHOCO,13678,5
2012-10-01,2012,10,CORDOBA,24786,1
2012-10-01,2012,10,GUAINIA,750,2
2012-10-01,2012,10,GUAVIARE,856,2
2012-10-01,2012,10,HUILA,13066,1
2012-10-01,2012,10,LA GUAJIRA,3894,1
2012-10-01,2012,10,MAGDALENA,41382,1
2012-10-01,2012,10,META,3635,3
2012-10-01,2012,10,NARINO,12624,3
2012-10-01,2012,10,NORTE DE SANTANDER,37535,1
2012-10-01,2012,10,PUTUMAYO,3115,3
2012-10-01,2012,10,QUINDIO,10469,1
2012-10-01,2012,10,RISARALDA,36761,1
2012-10-01,2012,10,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",39854,2
2012-10-01,2012,10,SANTANDER,66972,2
2012-10-01,2012,10,SIN ESPECIFICAR,0,1
2012-10-01,2012,10,SUCRE,2104,2
2012-10-01,2012,10,TOLIMA,6385,2
2012-10-01,2012,10,VALLE DEL CAUCA,133978,3
2012-10-01,2012,10,VAUPES,841,3
2012-10-01,2012,10,VICHADA,1529,3
2012-11-01,2012,11,AMAZONAS,7522,4
2012-11-01,2012,11,ANTIOQUIA,253304,6
2012-11-01,2012,11,ARAUCA,5179,2
2012-11-01,2012,11,ATLANTICO,74459,1
2012-11-01,2012,11,BOGOTA D.C.,532348,1
2012-11-01,2012,11,BOLIVAR,116790,1
2012-11-01,2012,11,CALDAS,8201,1
2012-11-01,2012,11,CAQUETA,3410,3
2012-11-01,2012,11,CASANARE,17467,2
2012-11-01,2012,11,CAUCA,4261,2
2012-11-01,2012,11,CESAR,13086,2
2012-11-01,2012,11,CHOCO,14124,5
2012-11-01,2012,11,CORDOBA,23594,1
2012-11-01,2012,11,GUAINIA,1262,2
2012-11-01,2012,11,GUAVIARE,1109,2
2012-11-01,2012,11,HUILA,12287,1
2012-11-01,2012,11,LA GUAJIRA,8062,3
2012-11-01,2012,11,MAGDALENA,45089,1
2012-11-01,2012,11,META,4383,3
2012-11-01,2012,11,NARINO,12894,3
2012-11-01,2012,11,NORTE DE SANTANDER,37605,1
2012-11-01,2012,11,PUTUMAYO,3294,3
2012-11-01,2012,11,QUINDIO,10433,1
2012-11-01,2012,11,RISARALDA,38023,1
2012-11-01,2012,11,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",40676,2
2012-11-01,2012,11,SANTANDER,65969,2
2012-11-01,2012,11,SIN ESPECIFICAR,0,1
2012-11-01,2012,11,SUCRE,1878,2
2012-11-01,2012,11,TOLIMA,6159,2
2012-11-01,2012,11,VALLE DEL CAUCA,132834,2
2012-11-01,2012,11,VAUPES,974,4
2012-11-01,2012,11,VICHADA,1875,3
2012-12-01,2012,12,AMAZONAS,7760,4
2012-12-01,2012,12,ANTIOQUIA,264000,6
2012-12-01,2012,12,ARAUCA,4759,2
2012-12-01,2012,12,ATLANTICO,84993,1
2012-12-01,2012,12,BOGOTA D.C.,503325,1
2012-12-01,2012,12,BOLIVAR,139898,1
2012-12-01,2012,12,CALDAS,8404,1
2012-12-01,2012,12,CAQUETA,3165,3
2012-12-01,2012,12,CASANARE,15990,2
2012-12-01,2012,12,CAUCA,4611,2
2012-12-01,2012,12,CESAR,13857,3
2012-12-01,2012,12,CHOCO,18924,5
2012-12-01,2012,12,CORDOBA,27747,1
2012-12-01,2012,12,GUAINIA,1213,2
2012-12-01,2012,12,GUAVIARE,1405,2
2012-12-01,2012,12,HUILA,12210,1
2012-12-01,2012,12,LA GUAJIRA,8188,3
2012-12-01,2012,12,MAGDALENA,57842,1
2012-12-01,2012,12,META,3556,2
2012-12-01,2012,12,NARINO,13233,3
2012-12-01,2012,12,NORTE DE SANTANDER,40046,1
2012-12-01,2012,12,PUTUMAYO,3152,3
2012-12-01,2012,12,QUINDIO,9484,1
2012-12-01,2012,12,RISARALDA,39114,1
2012-12-01,2012,12,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",50852,2
2012-12-01,2012,12,SANTANDER,66725,2
2012-12-01,2012,12,SIN ESPECIFICAR,0,1
2012-12-01,2012,12,SUCRE,2448,2
2012-12-01,2012,12,TOLIMA,5867,1
2012-12-01,2012,12,VALLE DEL CAUCA,142350,2
2012-12-01,2012,12,VAUPES,1026,4
2012-12-01,2012,12,VICHADA,1913,3
2013-01-01,2013,1,AMAZONAS,7192,4
2013-01-01,2013,1,ANTIOQUIA,249843,6
2013-01-01,2013,1,ARAUCA,4424,3
2013-01-01,2013,1,ATLANTICO,76506,1
2013-01-01,2013,1,BOGOTA D.C.,579605,1
2013-01-01,2013,1,BOLIVAR,135863,1
2013-01-01,2013,1,CALDAS,7820,1
2013-01-01,2013,1,CAQUETA,2855,3
2013-01-01,2013,1,CASANARE,14715,2
2013-01-01,2013,1,CAUCA,3569,2
2013-01-01,2013,1,CESAR,11203,1
2013-01-01,2013,1,CHOCO,14383,5
2013-01-01,2013,1,CORDOBA,22845,1
2013-01-01,2013,1,GUAINIA,1315,2
2013-01-01,2013,1,GUAVIARE,1031,2
2013-01-01,2013,1,HUILA,10580,1
2013-01-01,2013,1,LA GUAJIRA,8133,3
2013-01-01,2013,1,MAGDALENA,56185,1
2013-01-01,2013,1,META,3231,2
2013-01-01,2013,1,NARINO,10838,3
2013-01-01,2013,1,NORTE DE SANTANDER,37029,1
2013-01-01,2013,1,PUTUMAYO,2761,3
2013-01-01,2013,1,QUINDIO,9108,1
2013-01-01,2013,1,RISARALDA,36181,1
2013-01-01,2013,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",46932,2
2013-01-01,2013,1,SANTANDER,56343,2
2013-01-01,2013,1,SIN ESPECIFICAR,0,1
2013-01-01,2013,1,SUCRE,1821,3
2013-01-01,2013,1,TOLIMA,4797,2
2013-01-01,2013,1,VALLE DEL CAUCA,123345,2
2013-01-01,2013,1,VAUPES,801,3
2013-01-01,2013,1,VICHADA,1885,3
2013-02-01,2013,2,AMAZONAS,5416,4
2013-02-01,2013,2,ANTIOQUIA,216434,6
2013-02-01,2013,2,ARAUCA,4251,3
2013-02-01,2013,2,ATLANTICO,64537,1
2013-02-01,2013,2,BOGOTA D.C.,490715,1
2013-02-01,2013,2,BOLIVAR,107093,1
2013-02-01,2013,2,CALDAS,6698,1
2013-02-01,2013,2,CAQUETA,2989,3
2013-02-01,2013,2,CASANARE,15850,2
2013-02-01,2013,2,CAUCA,3490,2
2013-02-01,2013,2,CESAR,10943,1
2013-02-01,2013,2,CHOCO,12874,5
2013-02-01,2013,2,CORDOBA,21827,1
2013-02-01,2013,2,GUAINIA,1228,2
2013-02-01,2013,2,GUAVIARE,1371,2
2013-02-01,2013,2,HUILA,11322,1
2013-02-01,2013,2,LA GUAJIRA,4498,3
2013-02-01,2013,2,MAGDALENA,42653,1
2013-02-01,2013,2,META,3342,2
2013-02-01,2013,2,NARINO,10971,3
2013-02-01,2013,2,NORTE DE SANTANDER,31559,1
2013-02-01,2013,2,PUTUMAYO,3016,3
2013-02-01,2013,2,QUINDIO,9048,1
2013-02-01,2013,2,RISARALDA,35992,1
2013-02-01,2013,2,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",35626,2
2013-02-01,2013,2,SANTANDER,56927,2
2013-02-01,2013,2,SIN ESPECIFICAR,3,1
2013-02-01,2013,2,SUCRE,1541,3
2013-02-01,2013,2,TOLIMA,5662,1
2013-02-01,2013,2,VALLE DEL CAUCA,114492,2
2013-02-01,2013,2,VAUPES,680,4
