fecha,anio,mes_num,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia
2015-07-01,2015,7,MAGDALENA,1949.0,75,11,53
2015-07-01,2015,7,META,313.0,47,8,29
2015-07-01,2015,7,NARINO,1584.0,112,21,50
2015-07-01,2015,7,NORTE DE SANTANDER,1418.0,85,16,52
2015-07-01,2015,7,PUTUMAYO,64.0,19,8,14
2015-07-01,2015,7,QUINDIO,1175.0,90,10,40
2015-07-01,2015,7,RISARALDA,2467.0,103,12,53
2015-07-01,2015,7,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1646.993,65,2,49
2015-07-01,2015,7,SANTANDER,1667.0,142,22,55
2015-07-01,2015,7,SIN ESPECIFICAR,36.0,13,1,13
2015-07-01,2015,7,SUCRE,77.0,32,9,21
2015-07-01,2015,7,TOLIMA,490.0,76,14,46
2015-07-01,2015,7,VALLE DEL CAUCA,10205.803,423,40,147
2015-07-01,2015,7,VAUPES,8.0,4,2,3
2015-07-01,2015,7,VICHADA,12.0,6,1,6
2015-08-01,2015,8,AMAZONAS,566.0,37,4,34
2015-08-01,2015,8,ANTIOQUIA,9116.199,307,55,108
2015-08-01,2015,8,ARAUCA,17.0,12,4,9
2015-08-01,2015,8,ATLANTICO,2097.712,95,12,69
2015-08-01,2015,8,BOGOTA D.C.,12352.598,155,1,155
2015-08-01,2015,8,BOLIVAR,6808.698,139,14,106
2015-08-01,2015,8,BOYACA,352.0,121,26,41
2015-08-01,2015,8,CALDAS,651.0,71,14,46
2015-08-01,2015,8,CAQUETA,22.0,6,2,5
2015-08-01,2015,8,CASANARE,38.0,19,4,15
2015-08-01,2015,8,CAUCA,316.0,51,10,33
2015-08-01,2015,8,CESAR,206.0,32,9,21
2015-08-01,2015,8,CHOCO,244.0,41,6,31
2015-08-01,2015,8,CORDOBA,161.0,46,10,30
2015-08-01,2015,8,CUNDINAMARCA,794.0,246,50,42
2015-08-01,2015,8,GUAINIA,12.0,3,1,3
2015-08-01,2015,8,HUILA,347.0,58,10,31
2015-08-01,2015,8,LA GUAJIRA,223.0,51,7,27
2015-08-01,2015,8,MAGDALENA,1790.0,97,14,57
2015-08-01,2015,8,META,296.0,53,8,33
2015-08-01,2015,8,NARINO,2043.0,97,17,49
2015-08-01,2015,8,NORTE DE SANTANDER,1619.0,79,11,49
2015-08-01,2015,8,PUTUMAYO,50.0,15,8,9
2015-08-01,2015,8,QUINDIO,957.0,81,11,44
2015-08-01,2015,8,RISARALDA,1979.0,97,10,54
2015-08-01,2015,8,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2320.663,65,2,51
2015-08-01,2015,8,SANTANDER,1287.0,143,23,57
2015-08-01,2015,8,SIN ESPECIFICAR,34.0,14,1,14
2015-08-01,2015,8,SUCRE,66.0,33,7,20
2015-08-01,2015,8,TOLIMA,396.0,81,20,40
2015-08-01,2015,8,VALLE DEL CAUCA,7186.326,361,36,99
2015-08-01,2015,8,VAUPES,5.0,2,1,2
2015-08-01,2015,8,VICHADA,3.0,2,1,2
2015-09-01,2015,9,AMAZONAS,337.0,33,1,33
2015-09-01,2015,9,ANTIOQUIA,8805.193,314,48,147
2015-09-01,2015,9,ARAUCA,17.0,13,1,13
2015-09-01,2015,9,ATLANTICO,2005.398,102,12,78
2015-09-01,2015,9,BOGOTA D.C.,11660.926,147,1,147
2015-09-01,2015,9,BOLIVAR,6102.642,129,12,110
2015-09-01,2015,9,BOYACA,239.0,99,21,29
2015-09-01,2015,9,CALDAS,613.0,73,17,41
2015-09-01,2015,9,CAQUETA,16.0,7,1,7
2015-09-01,2015,9,CASANARE,57.0,18,4,15
2015-09-01,2015,9,CAUCA,406.0,47,11,31
2015-09-01,2015,9,CESAR,95.0,31,6,23
2015-09-01,2015,9,CHOCO,179.0,36,7,27
2015-09-01,2015,9,CORDOBA,164.0,43,9,28
2015-09-01,2015,9,CUNDINAMARCA,640.0,227,48,44
2015-09-01,2015,9,GUAINIA,10.0,3,2,3
2015-09-01,2015,9,HUILA,272.0,56,10,28
2015-09-01,2015,9,LA GUAJIRA,79.0,33,6,22
2015-09-01,2015,9,MAGDALENA,1598.0,82,12,56
2015-09-01,2015,9,META,242.0,40,9,28
2015-09-01,2015,9,NARINO,1370.0,75,13,42
2015-09-01,2015,9,NORTE DE SANTANDER,829.0,66,11,41
2015-09-01,2015,9,PUTUMAYO,47.0,17,8,11
2015-09-01,2015,9,QUINDIO,604.0,72,9,36
2015-09-01,2015,9,RISARALDA,1449.0,98,12,54
2015-09-01,2015,9,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2446.631,70,2,52
2015-09-01,2015,9,SANTANDER,1188.0,116,19,52
2015-09-01,2015,9,SIN ESPECIFICAR,35.0,17,1,17
2015-09-01,2015,9,SUCRE,51.0,17,4,16
2015-09-01,2015,9,TOLIMA,332.0,69,13,40
2015-09-01,2015,9,VALLE DEL CAUCA,8322.128,314,35,86
2015-09-01,2015,9,VAUPES,1.0,1,1,1
2015-09-01,2015,9,VICHADA,6.0,3,2,3
2015-10-01,2015,10,AMAZONAS,283.0,40,4,37
2015-10-01,2015,10,ANTIOQUIA,8532.431,277,43,104
2015-10-01,2015,10,ARAUCA,14.0,10,4,8
2015-10-01,2015,10,ATLANTICO,2619.342,100,11,73
2015-10-01,2015,10,BOGOTA D.C.,11261.252,148,1,148
2015-10-01,2015,10,BOLIVAR,7380.32,139,15,111
2015-10-01,2015,10,BOYACA,510.0,108,21,39
2015-10-01,2015,10,CALDAS,477.0,66,14,37
2015-10-01,2015,10,CAQUETA,37.0,12,1,12
2015-10-01,2015,10,CASANARE,59.0,27,6,22
2015-10-01,2015,10,CAUCA,352.0,40,11,23
2015-10-01,2015,10,CESAR,136.0,43,11,29
2015-10-01,2015,10,CHOCO,233.0,56,11,34
2015-10-01,2015,10,CORDOBA,149.0,47,8,32
2015-10-01,2015,10,CUNDINAMARCA,663.0,242,51,46
2015-10-01,2015,10,GUAINIA,9.0,4,2,3
2015-10-01,2015,10,GUAVIARE,1.0,1,1,1
2015-10-01,2015,10,HUILA,274.0,64,13,32
2015-10-01,2015,10,LA GUAJIRA,79.0,32,7,22
2015-10-01,2015,10,MAGDALENA,1800.0,89,9,60
2015-10-01,2015,10,META,394.0,58,11,40
2015-10-01,2015,10,NARINO,1686.0,101,13,52
2015-10-01,2015,10,NORTE DE SANTANDER,785.0,55,10,37
2015-10-01,2015,10,PUTUMAYO,62.0,21,7,14
2015-10-01,2015,10,QUINDIO,634.0,81,10,36
2015-10-01,2015,10,RISARALDA,1646.0,99,12,52
2015-10-01,2015,10,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1470.634,59,2,44
2015-10-01,2015,10,SANTANDER,1168.0,120,17,59
2015-10-01,2015,10,SIN ESPECIFICAR,18.0,8,1,8
2015-10-01,2015,10,SUCRE,71.0,35,8,22
2015-10-01,2015,10,TOLIMA,465.0,61,13,38
2015-10-01,2015,10,VALLE DEL CAUCA,7955.199,316,33,101
2015-10-01,2015,10,VICHADA,2.0,2,1,2
2015-11-01,2015,11,AMAZONAS,290.0,46,4,39
2015-11-01,2015,11,ANTIOQUIA,9903.57,306,51,110
2015-11-01,2015,11,ARAUCA,13.0,10,4,7
2015-11-01,2015,11,ATLANTICO,2281.492,116,10,84
2015-11-01,2015,11,BOGOTA D.C.,11948.277,152,1,152
2015-11-01,2015,11,BOLIVAR,7572.615,147,13,123
2015-11-01,2015,11,BOYACA,308.0,113,27,39
2015-11-01,2015,11,CALDAS,483.0,69,14,37
2015-11-01,2015,11,CAQUETA,28.0,11,2,10
2015-11-01,2015,11,CASANARE,45.0,17,4,14
2015-11-01,2015,11,CAUCA,268.0,53,11,31
2015-11-01,2015,11,CESAR,227.0,40,7,28
2015-11-01,2015,11,CHOCO,215.0,40,9,27
2015-11-01,2015,11,CORDOBA,371.0,60,16,29
2015-11-01,2015,11,CUNDINAMARCA,674.0,244,49,46
2015-11-01,2015,11,GUAINIA,12.0,5,2,5
2015-11-01,2015,11,GUAVIARE,2.0,2,1,2
2015-11-01,2015,11,HUILA,294.0,65,12,34
